name,key,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,extensions,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,scientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,dateIdentified,coordinateUncertaintyInMeters,year,month,day,eventDate,modified,lastInterpreted,references,license,identifiers,facts,relations,geodeticDatum,class,countryCode,country,rightsHolder,identifier,informationWithheld,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,recordedBy,catalogNumber,http...unknown.org.occurrenceDetails,institutionCode,rights,eventTime,identificationID,individualCount,sex,continent,stateProvince,institutionID,dynamicProperties,county,identificationVerificationStatus,language,type,preparations,locationAccordingTo,identifiedBy,georeferencedDate,higherGeography,nomenclaturalCode,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,endDayOfYear,locality,verbatimCoordinateSystem,otherCatalogNumbers,organismID,previousIdentifications,identificationQualifier,accessRights,higherClassification,collectionID,georeferenceSources,occurrenceRemarks,locationRemarks,eventRemarks,recordNumber,scientificNameID,fieldNumber,elevation,elevationAccuracy,startDayOfYear,establishmentMeans,occurrenceStatus,georeferenceRemarks,bibliographicCitation,reproductiveCondition,verbatimElevation,island,vernacularName,parentNameUsage,lifeStage,typeStatus,ownerInstitutionCode,datasetID,disposition,fieldNotes,latestEraOrHighestErathem,formation,lowestBiostratigraphicZone,highestBiostratigraphicZone,latestEpochOrHighestSeries,geologicalContextID,latestEonOrHighestEonothem,earliestEonOrLowestEonothem,latestPeriodOrHighestSystem,earliestEraOrLowestErathem,earliestEpochOrLowestSeries,locationID,earliestPeriodOrLowestSystem
Dipodomys ingens,1291122289,35.013909,-119.663572,"cdround,gass84",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-01-05T08:40:09.245+0000,2017-07-15T16:57:01.330+0000,92,none,HUMAN_OBSERVATION,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2016-07-12T23:25:03.000+0000,28720,2016,7,12,2016-07-12T02:29:44.000+0000,2017-07-14T04:56:27.000+0000,2017-07-15T16:57:01.377+0000,https://www.inaturalist.org/observations/3669035,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,asemerdj,3669035,Coordinate uncertainty increased to 28720m to protect threatened taxon,Tue Jul 12 2016 02:29:44 GMT-0700 (PDT),iNaturalist research-grade observations,Observations,"California, US",1291122289,http://www.inaturalist.org/observations/3669035,44125,asemerdj,3669035,http://www.inaturalist.org/observations/3669035,iNaturalist,© asemerdj some rights reserved,09:29:44Z,7034476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1563364628,35.11276,-119.7022,,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:04.985+0000,2017-06-04T01:39:35.355+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2014-04-05T00:00:00.000+0000,100,2014,4,5,2014-04-05T00:00:00.000+0000,2017-05-31T14:17:46.000+0000,2017-06-04T01:46:46.788+0000,http://arctos.database.museum/guid/MVZ:Mamm:234364,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:234364?seid=3571892,NA,5 April 2014,NA,Mammal specimens,"Plot Center Well 5, Carrizo Plain, San Luis Obispo Co., CA; 35.11276; -119.7022",1563364628,http://arctos.database.museum/guid/MVZ:Mamm:234364?seid=3571892,NA,Collector(s): Alyssa Semerdjian; Preparator(s): Danielle M. Dillard,234364,NA,MVZ,NA,NA,NA,1,MALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,sex=male ; total length=290 mm; tail length=175 mm; hind foot with claw=43 mm; ear from notch=14 mm; weight=66 g,San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen); tissue (frozen); tissue (frozen),Alyssa Semerdjian,Alyssa Semerdjian,2014-04-05 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Alyssa Semerdjian,not recorded,unverified,95,"Plot Center Well 5, Carrizo Plain National Monument",decimal degrees,preparator number=135; preparator number=136,http://arctos.database.museum/guid/MVZ:Mamm:234364,<i>Dipodomys ingens</i> (accepted ID) identified by Alyssa Semerdjian on 2014-04-05; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1563364631,35.08039,-119.67988,,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:04.977+0000,2017-06-04T01:39:35.378+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2014-08-08T00:00:00.000+0000,100,2014,8,8,2014-08-08T00:00:00.000+0000,2017-05-31T14:18:28.000+0000,2017-06-04T01:46:46.853+0000,http://arctos.database.museum/guid/MVZ:Mamm:234365,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:234365?seid=3571836,NA,8 Aug 2014,NA,Mammal specimens,"Plot S1-E5, Carrizo Plain National Monument, San Luis Obispo County, CA; 35.08039; -119.67988",1563364631,http://arctos.database.museum/guid/MVZ:Mamm:234365?seid=3571836,NA,Collector(s): G. K. Reid; Preparator(s): Chulabush Khatancharoen,234365,NA,MVZ,NA,NA,NA,1,FEMALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,"sex=female ; total length=340 mm; tail length=184 mm; hind foot with claw=44 mm; ear from notch=13 mm; weight=78.7 g; reproductive data=Mammaries none showing, vagina open. Width of uterus 1 mm. Uterus was floppy and vascularized.",San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen),G. K. Reid,G. K. Reid,2014-08-08 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,G. K. Reid,not recorded,unverified,220,"Plot S1-E5, Carrizo Plain National Monument",decimal degrees,preparator number=3412,http://arctos.database.museum/guid/MVZ:Mamm:234365,<i>Dipodomys ingens</i> (accepted ID) identified by G. K. Reid on 2014-08-08; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,Ear tag metal on right ear. Microchip found on right arm (saved).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1024209975,35.023583,-119.721832,"cdround,gass84",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-01-05T08:47:33.919+0000,2017-07-15T17:07:58.214+0000,92,none,HUMAN_OBSERVATION,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2014-08-16T00:16:35.000+0000,1e4,2013,5,23,2013-05-23T00:00:00.000+0000,2017-07-14T04:21:30.000+0000,2017-07-15T17:08:00.684+0000,https://www.inaturalist.org/observations/832738,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,asemerdj,832738,Coordinate uncertainty increased to 10000m to protect threatened taxon,2013-05-23,iNaturalist research-grade observations,Observations,"California, US",1024209975,http://www.inaturalist.org/observations/832738,44125,asemerdj,832738,http://www.inaturalist.org/observations/832738,iNaturalist,© asemerdj some rights reserved,NA,1472596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145808106,35.111953,-119.745217,cdround,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.779+0000,2017-06-04T01:39:29.754+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2011-04-28T00:00:00.000+0000,30,2011,4,28,2011-04-28T00:00:00.000+0000,2017-03-09T12:19:27.000+0000,2017-06-04T01:46:37.007+0000,http://arctos.database.museum/guid/MVZ:Mamm:228397,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228397?seid=1917884,NA,28 April 2011,NA,Mammal specimens,"Carrizo Plain, San Luis Obispo Co., California",1145808106,http://arctos.database.museum/guid/MVZ:Mamm:228397?seid=1917884,NA,Collector(s): Rachel Endicott; Preparator(s): Christopher J. Conroy,228397,NA,MVZ,NA,NA,NA,1,FEMALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,"sex=female ; total length=325 mm; tail length=180 mm; hind foot with claw=42 mm; ear from notch=10 mm; weight=148 g; reproductive data=lactating female; scars 2L, 2R",San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen),Christopher J. Conroy,Rachel Endicott,2013-02-04 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,118,Carrizo Plain,decimal degrees,preparator number=2852,http://arctos.database.museum/guid/MVZ:Mamm:228397,<i>Dipodomys ingens</i> (accepted ID) identified by Rachel Endicott on 2011-04-28; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,"Original info: pit# 1059387; Trap knocked over by cow, nail fell out and krat pushed its way in; first captured in April 2011; Last data taken on animal: 4/27/2011; plot C1; stake A1; S 249803.5714  E 3888913.143; skull 45mm, wt 130 (taken during prep)","UTM Zone 11, 249803.5714, 3888913.143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145808072,35.120191,-119.724277,cdround,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.790+0000,2017-06-04T01:39:29.755+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2011-05-13T00:00:00.000+0000,30,2011,5,13,2011-05-13T00:00:00.000+0000,2017-03-09T12:19:26.000+0000,2017-06-04T01:46:36.938+0000,http://arctos.database.museum/guid/MVZ:Mamm:228396,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228396?seid=1917883,NA,13 May 2011,NA,Mammal specimens,"Carrizo Plain, San Luis Obispo Co., California",1145808072,http://arctos.database.museum/guid/MVZ:Mamm:228396?seid=1917883,NA,"Collector(s): Rachel Endicott; Preparator(s): Christopher J. Conroy, Nassima M. Bouzid",228396,NA,MVZ,NA,NA,NA,1,FEMALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,"sex=female ; total length=325 mm; tail length=180 mm; hind foot with claw=48 mm; ear from notch=10 mm; weight=165 g; reproductive data=lactating female, scars",San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen),Christopher J. Conroy,Rachel Endicott,2013-02-04 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,133,Carrizo Plain,decimal degrees,preparator number=2851,http://arctos.database.museum/guid/MVZ:Mamm:228396,<i>Dipodomys ingens</i> (accepted ID) identified by Rachel Endicott on 2011-05-13; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,"Original info: pit# 3383880; first captured in May 2008; First captured in May 2008; Last data taken on animal: 5/9/2010; found on plot E10 between stakes A7 & B8 E10-A7 S 251725.2857 E 3889766.286 E10-B8 S 251737.5714 E 3889774.429; skull: 47mm, Info from CJC catalog: wt 157g (taken during prep)","UTM 11, between 251725.2857, 3889766.286 and 251737.5714, 3889774.429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145808067,35.077743,-119.673215,cdround,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.814+0000,2017-06-04T01:39:29.741+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2011-06-26T00:00:00.000+0000,30,2011,6,26,2011-06-26T00:00:00.000+0000,2017-03-09T12:19:26.000+0000,2017-06-04T01:46:36.901+0000,http://arctos.database.museum/guid/MVZ:Mamm:228399,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228399?seid=1917886,NA,26 June 2011,NA,Mammal specimens,"Carrizo Plain, San Luis Obispo Co., California",1145808067,http://arctos.database.museum/guid/MVZ:Mamm:228399?seid=1917886,NA,"Collector(s): Rachel Endicott; Preparator(s): Christopher J. Conroy, Nassima M. Bouzid",228399,NA,MVZ,NA,NA,NA,1,FEMALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,"sex=female ; total length=309 mm; tail length=180 mm; hind foot with claw=47 mm; ear from notch=15 mm; weight=120 g; reproductive data=non-lactating; uterus thin and thread like; no embryos, scars",San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen),Christopher J. Conroy,Rachel Endicott,2013-02-04 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,177,Carrizo Plain,decimal degrees,preparator number=2854,http://arctos.database.museum/guid/MVZ:Mamm:228399,<i>Dipodomys ingens</i> (accepted ID) identified by Rachel Endicott on 2011-06-26; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,"Original info: Pit# 7003367; plot S2, stake J6, S  256265.5, E 3884938.643; Last data taken on animal: 4/17/2011; first captured in August 2010; wt: 120g, skull 47 mm; Info from CJC catalog: hind foot swollen, dark; wt 117.2g (taken during prep)","UTM zone 11, 256265.5, 3884938.643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145808073,35.127473,-119.721635,cdround,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.778+0000,2017-06-04T01:39:29.747+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2011-06-04T00:00:00.000+0000,30,2011,6,4,2011-06-04T00:00:00.000+0000,2017-03-09T12:19:27.000+0000,2017-06-04T01:46:36.973+0000,http://arctos.database.museum/guid/MVZ:Mamm:228398,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228398?seid=1917885,NA,4 June 2011,NA,Mammal specimens,"Carrizo Plain, San Luis Obispo Co., California",1145808073,http://arctos.database.museum/guid/MVZ:Mamm:228398?seid=1917885,NA,Collector(s): Rachel Endicott; Preparator(s): Christopher J. Conroy,228398,NA,MVZ,NA,NA,NA,1,MALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,sex=male ; total length=316 mm; tail length=182 mm; hind foot with claw=52 mm; ear from notch=16 mm; weight=133.7 g; reproductive data=t: 9x4mm,San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen); phallus (formalin),Christopher J. Conroy,Rachel Endicott,2013-02-04 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,155,Carrizo Plain,decimal degrees,preparator number=2853,http://arctos.database.museum/guid/MVZ:Mamm:228398,<i>Dipodomys ingens</i> (accepted ID) identified by Rachel Endicott on 2011-06-04; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,"Original info: no pit#, not a previously captured animal, Caught on outside of antelope squirrel cage, wt=133.7 (taken during prep); plot C8, stake I9, S 252000.4286, E 3890575.714","UTM Zone 11, 252000.4286, 3890575.714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145807990,35.077743,-119.673215,cdround,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.769+0000,2017-06-04T01:39:29.747+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,2011-06-26T00:00:00.000+0000,30,2011,6,26,2011-06-26T00:00:00.000+0000,2017-03-09T12:19:26.000+0000,2017-06-04T01:46:36.902+0000,http://arctos.database.museum/guid/MVZ:Mamm:228395,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228395?seid=1917882,NA,26 June 2011,NA,Mammal specimens,"Carrizo Plain, San Luis Obispo Co., California",1145807990,http://arctos.database.museum/guid/MVZ:Mamm:228395?seid=1917882,NA,Collector(s): Rachel Endicott; Preparator(s): Christopher J. Conroy,228395,NA,MVZ,NA,NA,NA,1,MALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,"sex=male ; total length=335 mm; tail length=190 mm; hind foot with claw=42 mm; ear from notch=11 mm; weight=130 g; reproductive data=non-scrotal,  t: 6mm",San Luis Obispo County,field,en,PhysicalObject,skin; skull; tissue (frozen); phallus (formalin),Christopher J. Conroy,Rachel Endicott,2013-02-04 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,177,Carrizo Plain,decimal degrees,preparator number=2850,http://arctos.database.museum/guid/MVZ:Mamm:228395,<i>Dipodomys ingens</i> (accepted ID) identified by Rachel Endicott on 2011-06-26; method: field,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,"Original info: Pit# 7000261; Last data taken on animal: 4/17/2011, first captured in August 2010; plot S2, stake J6, S  256265.5, E 3884938.643; wt: 130g, skull 50mm; Info from CJC catalog: ear tag#2413, wt 120g","UTM zone 11, 256265.5, 3884938.643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodomys ingens,1145808613,35.082938,-119.654884,,0daed095-478a-4af6-abf5-18acb790fbb2,8edbbde0-055e-11d8-b850-b8a03c50a862,US,DWC_ARCHIVE,2018-01-04T08:54:02.955+0000,2017-06-04T01:39:30.267+0000,78,none,PRESERVED_SPECIMEN,2439550,1,44,359,1459,5504,2439509,2439550,"Dipodomys ingens (Merriam, 1904)",Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ingens,Dipodomys,ingens,SPECIES,NA,30,2009,4,20,2009-04-20T00:00:00.000+0000,2017-04-12T15:49:32.000+0000,2017-06-04T01:46:37.863+0000,http://arctos.database.museum/guid/MVZ:Mamm:228894,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,WGS84,Mammalia,US,United States,NA,http://arctos.database.museum/guid/MVZ:Mamm:228894?seid=1929054,NA,20 April 2009,NA,Mammal specimens,"Carrizo Plain National Monument, Swain pasture, San Luis Obispo County, California, Zone 11N, 35.0811844157474 -119.653927225317 Garmin e-Trek",1145808613,http://arctos.database.museum/guid/MVZ:Mamm:228894?seid=1929054,NA,Collector(s): Deborah Watson; Preparator(s): Christopher J. Conroy,228894,NA,MVZ,NA,NA,NA,1,FEMALE,NORTH_AMERICA,California,urn:lsid:biocol.org:col:34777,sex=female ; total length=300 mm; tail length=175 mm; hind foot with claw=46 mm; ear from notch=15 mm; weight=100 g,San Luis Obispo County,expert,en,PhysicalObject,skull; tissue (frozen); skeleton,Christopher J. Conroy,Christopher J. Conroy,2013-02-20 00:00:00.0,"North America, United States, California, San Luis Obispo County",ICZN,Christopher J. Conroy,MaNIS georeferencing guidelines,checked by curator,110,"Swain Pasture, Carrizo Plain National Monument",decimal degrees,preparator number=2991,http://arctos.database.museum/guid/MVZ:Mamm:228894,<i>Dipodomys ingens</i> (accepted ID) identified by Christopher J. Conroy; method: expert,A,http://www.vertnet.org/resources/norms.html,Animalia; Chordata; Mammalia; Rodentia; Heteromyidae; Dipodomyinae;,urn:lsid:biocol.org:col:34904,GPS,ear tag 3706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
